,연도,일시,측정소,PM2.5
165,4,01-13 21:00,공주,0.22
166,4,01-13 22:00,공주,0.192
167,4,01-13 23:00,공주,0.20800000000000002
168,4,01-14 00:00,공주,0.192
169,4,01-14 01:00,공주,0.196
170,4,01-14 02:00,공주,0.196
171,4,01-14 03:00,공주,0.2
172,4,01-14 04:00,공주,0.152
173,4,01-14 05:00,공주,0.18
174,4,01-14 06:00,공주,0.216
175,4,01-14 07:00,공주,0.18
176,4,01-14 08:00,공주,0.184
177,4,01-14 09:00,공주,0.17200000000000001
178,4,01-14 10:00,공주,0.192
179,4,01-14 11:00,공주,0.136
180,4,01-14 12:00,공주,0.156
181,4,01-14 13:00,공주,0.12
182,4,01-14 14:00,공주,0.128
183,4,01-14 15:00,공주,0.084
184,4,01-14 16:00,공주,0.096
185,4,01-14 17:00,공주,0.14
186,4,01-14 18:00,공주,0.116
187,4,01-14 19:00,공주,0.108
188,4,01-14 20:00,공주,0.116
189,4,01-14 21:00,공주,0.124
190,4,01-14 22:00,공주,0.14400000000000002
191,4,01-14 23:00,공주,0.124
192,4,01-15 00:00,공주,0.108
193,4,01-15 01:00,공주,0.12
194,4,01-15 02:00,공주,0.124
195,4,01-15 03:00,공주,0.108
196,4,01-15 04:00,공주,0.10400000000000001
197,4,01-15 05:00,공주,0.128
198,4,01-15 06:00,공주,0.12
199,4,01-15 07:00,공주,0.128
200,4,01-15 08:00,공주,0.148
201,4,01-15 09:00,공주,0.128
202,4,01-15 10:00,공주,0.12
203,4,01-15 11:00,공주,0.1
204,4,01-15 12:00,공주,0.096
205,4,01-15 13:00,공주,0.084
206,4,01-15 14:00,공주,0.092
207,4,01-15 15:00,공주,0.096
208,4,01-15 16:00,공주,0.1
209,4,01-15 17:00,공주,0.1
210,4,01-15 18:00,공주,0.096
211,4,01-15 19:00,공주,0.096
212,4,01-15 20:00,공주,0.10400000000000001
213,4,01-15 21:00,공주,0.112
214,4,01-15 22:00,공주,0.1
215,4,01-15 23:00,공주,0.10400000000000001
216,4,01-18 00:00,공주,0.1
217,4,01-18 01:00,공주,0.108
218,4,01-18 02:00,공주,0.108
219,4,01-18 03:00,공주,0.1
220,4,01-18 04:00,공주,0.1
221,4,01-18 05:00,공주,0.096
222,4,01-18 06:00,공주,0.1
223,4,01-18 07:00,공주,0.116
224,4,01-18 08:00,공주,0.128
225,4,01-18 09:00,공주,0.136
226,4,01-18 10:00,공주,0.12
227,4,01-18 11:00,공주,0.108
228,4,01-18 12:00,공주,0.116
229,4,01-18 13:00,공주,0.092
230,4,01-18 14:00,공주,0.088
231,4,01-18 15:00,공주,0.092
232,4,01-18 16:00,공주,0.096
233,4,01-18 17:00,공주,0.1
234,4,01-18 18:00,공주,0.116
235,4,01-18 19:00,공주,0.108
236,4,01-18 20:00,공주,0.116
237,4,01-18 21:00,공주,0.12
238,4,01-18 22:00,공주,0.116
239,4,01-18 23:00,공주,0.128
240,4,01-19 00:00,공주,0.124
241,4,01-19 01:00,공주,0.116
242,4,01-19 02:00,공주,0.128
243,4,01-19 03:00,공주,0.128
244,4,01-19 04:00,공주,0.108
245,4,01-19 05:00,공주,0.10400000000000001
246,4,01-19 06:00,공주,0.128
247,4,01-19 07:00,공주,0.136
248,4,01-19 08:00,공주,0.128
249,4,01-19 09:00,공주,0.14
250,4,01-19 10:00,공주,0.136
251,4,01-19 11:00,공주,0.12
252,4,01-19 12:00,공주,0.112
253,4,01-19 13:00,공주,0.088
254,4,01-19 14:00,공주,0.1
255,4,01-19 15:00,공주,0.08
256,4,01-19 16:00,공주,0.088
257,4,01-19 17:00,공주,0.096
258,4,01-19 18:00,공주,0.10400000000000001
259,4,01-19 19:00,공주,0.10400000000000001
260,4,01-19 20:00,공주,0.108
261,4,01-19 21:00,공주,0.1
262,4,01-19 22:00,공주,0.128
263,4,01-19 23:00,공주,0.108
264,4,01-20 00:00,공주,0.1
265,4,01-20 01:00,공주,0.116
266,4,01-20 02:00,공주,0.108
267,4,01-20 03:00,공주,0.108
268,4,01-20 04:00,공주,0.10400000000000001
269,4,01-20 05:00,공주,0.108
270,4,01-20 06:00,공주,0.112
271,4,01-20 07:00,공주,0.12
272,4,01-20 08:00,공주,0.14
273,4,01-20 09:00,공주,0.132
274,4,01-20 10:00,공주,0.108
275,4,01-20 11:00,공주,0.1
276,4,01-20 12:00,공주,0.08
277,4,01-20 13:00,공주,0.084
278,4,01-20 14:00,공주,0.084
279,4,01-20 15:00,공주,0.088
280,4,01-20 16:00,공주,0.088
281,4,01-20 17:00,공주,0.092
282,4,01-20 18:00,공주,0.092
283,4,01-20 19:00,공주,0.096
284,4,01-20 20:00,공주,0.1
285,4,01-20 21:00,공주,0.1
286,4,01-20 22:00,공주,0.096
287,4,01-20 23:00,공주,0.096
288,4,01-23 00:00,공주,0.076
289,4,01-23 01:00,공주,0.076
290,4,01-23 02:00,공주,0.076
291,4,01-23 03:00,공주,0.07200000000000001
292,4,01-23 04:00,공주,0.07200000000000001
293,4,01-23 05:00,공주,0.064
294,4,01-23 06:00,공주,0.07200000000000001
295,4,01-23 07:00,공주,0.084
296,4,01-23 08:00,공주,0.096
297,4,01-23 09:00,공주,0.1
298,4,01-23 10:00,공주,0.092
299,4,01-23 11:00,공주,0.084
300,4,01-23 12:00,공주,0.088
301,4,01-23 13:00,공주,0.07200000000000001
302,4,01-23 14:00,공주,0.068
303,4,01-23 15:00,공주,0.068
304,4,01-23 16:00,공주,0.07200000000000001
305,4,01-23 17:00,공주,0.076
306,4,01-23 18:00,공주,0.092
307,4,01-23 19:00,공주,0.084
308,4,01-23 20:00,공주,0.092
309,4,01-23 21:00,공주,0.096
310,4,01-23 22:00,공주,0.096
311,4,01-23 23:00,공주,0.10400000000000001
312,4,01-24 00:00,공주,0.096
313,4,01-24 01:00,공주,0.096
314,4,01-24 02:00,공주,0.096
315,4,01-24 03:00,공주,0.10400000000000001
316,4,01-24 04:00,공주,0.096
317,4,01-24 05:00,공주,0.08
318,4,01-24 06:00,공주,0.092
319,4,01-24 07:00,공주,0.116
320,4,01-24 08:00,공주,0.10400000000000001
321,4,01-24 09:00,공주,0.12
322,4,01-24 10:00,공주,0.116
323,4,01-24 11:00,공주,0.116
324,4,01-24 12:00,공주,0.1
325,4,01-24 13:00,공주,0.076
326,4,01-24 14:00,공주,0.084
327,4,01-24 15:00,공주,0.064
328,4,01-24 16:00,공주,0.08
329,4,01-24 17:00,공주,0.08
330,4,01-24 18:00,공주,0.092
331,4,01-24 19:00,공주,0.096
332,4,01-24 20:00,공주,0.096
333,4,01-24 21:00,공주,0.084
334,4,01-24 22:00,공주,0.112
335,4,01-24 23:00,공주,0.088
336,4,01-25 00:00,공주,0.092
337,4,01-25 01:00,공주,0.1
338,4,01-25 02:00,공주,0.096
339,4,01-25 03:00,공주,0.096
340,4,01-25 04:00,공주,0.096
341,4,01-25 05:00,공주,0.092
342,4,01-25 06:00,공주,0.1
343,4,01-25 07:00,공주,0.108
344,4,01-25 08:00,공주,0.128
345,4,01-25 09:00,공주,0.128
346,4,01-25 10:00,공주,0.1
347,4,01-25 11:00,공주,0.096
348,4,01-25 12:00,공주,0.08
349,4,01-25 13:00,공주,0.07200000000000001
350,4,01-25 14:00,공주,0.08
351,4,01-25 15:00,공주,0.08
352,4,01-25 16:00,공주,0.084
353,4,01-25 17:00,공주,0.088
354,4,01-25 18:00,공주,0.092
355,4,01-25 19:00,공주,0.088
356,4,01-25 20:00,공주,0.092
357,4,01-25 21:00,공주,0.092
358,4,01-25 22:00,공주,0.088
359,4,01-25 23:00,공주,0.088
360,4,01-28 00:00,공주,0.07200000000000001
361,4,01-28 01:00,공주,0.08
362,4,01-28 02:00,공주,0.088
363,4,01-28 03:00,공주,0.084
364,4,01-28 04:00,공주,0.084
365,4,01-28 05:00,공주,0.08
366,4,01-28 06:00,공주,0.084
367,4,01-28 07:00,공주,0.096
368,4,01-28 08:00,공주,0.10400000000000001
369,4,01-28 09:00,공주,0.112
370,4,01-28 10:00,공주,0.096
371,4,01-28 11:00,공주,0.092
372,4,01-28 12:00,공주,0.092
373,4,01-28 13:00,공주,0.08
374,4,01-28 14:00,공주,0.08
375,4,01-28 15:00,공주,0.08
376,4,01-28 16:00,공주,0.084
377,4,01-28 17:00,공주,0.092
378,4,01-28 18:00,공주,0.10400000000000001
379,4,01-28 19:00,공주,0.10400000000000001
380,4,01-28 20:00,공주,0.10400000000000001
381,4,01-28 21:00,공주,0.112
382,4,01-28 22:00,공주,0.10400000000000001
383,4,01-28 23:00,공주,0.108
384,4,01-29 00:00,공주,0.108
385,4,01-29 01:00,공주,0.108
386,4,01-29 02:00,공주,0.112
387,4,01-29 03:00,공주,0.12
388,4,01-29 04:00,공주,0.10400000000000001
389,4,01-29 05:00,공주,0.10400000000000001
390,4,01-29 06:00,공주,0.116
391,4,01-29 07:00,공주,0.12
392,4,01-29 08:00,공주,0.108
393,4,01-29 09:00,공주,0.12
394,4,01-29 10:00,공주,0.132
395,4,01-29 11:00,공주,0.116
396,4,01-29 12:00,공주,0.112
397,4,01-29 13:00,공주,0.08
398,4,01-29 14:00,공주,0.088
399,4,01-29 15:00,공주,0.07200000000000001
400,4,01-29 16:00,공주,0.076
401,4,01-29 17:00,공주,0.096
402,4,01-29 18:00,공주,0.096
403,4,01-29 19:00,공주,0.096
404,4,01-29 20:00,공주,0.10400000000000001
405,4,01-29 21:00,공주,0.092
406,4,01-29 22:00,공주,0.12
407,4,01-29 23:00,공주,0.096
408,4,01-30 00:00,공주,0.096
409,4,01-30 01:00,공주,0.1
410,4,01-30 02:00,공주,0.10400000000000001
411,4,01-30 03:00,공주,0.1
412,4,01-30 04:00,공주,0.1
413,4,01-30 05:00,공주,0.096
414,4,01-30 06:00,공주,0.1
415,4,01-30 07:00,공주,0.108
416,4,01-30 08:00,공주,0.124
417,4,01-30 09:00,공주,0.116
418,4,01-30 10:00,공주,0.096
419,4,01-30 11:00,공주,0.088
420,4,01-30 12:00,공주,0.076
421,4,01-30 13:00,공주,0.07200000000000001
422,4,01-30 14:00,공주,0.076
423,4,01-30 15:00,공주,0.08
424,4,01-30 16:00,공주,0.084
425,4,01-30 17:00,공주,0.088
426,4,01-30 18:00,공주,0.092
427,4,01-30 19:00,공주,0.092
428,4,01-30 20:00,공주,0.092
429,4,01-30 21:00,공주,0.096
430,4,01-30 22:00,공주,0.088
431,4,01-30 23:00,공주,0.088
432,4,02-02 00:00,공주,0.376
433,4,02-02 01:00,공주,0.364
434,4,02-02 02:00,공주,0.36
435,4,02-02 03:00,공주,0.352
436,4,02-02 04:00,공주,0.34400000000000003
437,4,02-02 05:00,공주,0.336
438,4,02-02 06:00,공주,0.328
439,4,02-02 07:00,공주,0.356
440,4,02-02 08:00,공주,0.38
441,4,02-02 09:00,공주,0.328
442,4,02-02 10:00,공주,0.332
443,4,02-02 11:00,공주,0.3
444,4,02-02 12:00,공주,0.34800000000000003
445,4,02-02 13:00,공주,0.276
446,4,02-02 14:00,공주,0.20400000000000001
447,4,02-02 15:00,공주,0.224
448,4,02-02 16:00,공주,0.252
449,4,02-02 17:00,공주,0.24
450,4,02-02 18:00,공주,0.264
451,4,02-02 19:00,공주,0.252
452,4,02-02 20:00,공주,0.24
453,4,02-02 21:00,공주,0.32
454,4,02-02 22:00,공주,0.252
455,4,02-02 23:00,공주,0.272
456,4,02-03 00:00,공주,0.26
457,4,02-03 01:00,공주,0.248
458,4,02-03 02:00,공주,0.232
459,4,02-03 03:00,공주,0.28
460,4,02-03 04:00,공주,0.192
461,4,02-03 05:00,공주,0.256
462,4,02-03 06:00,공주,0.292
463,4,02-03 07:00,공주,0.224
464,4,02-03 08:00,공주,0.196
465,4,02-03 09:00,공주,0.248
466,4,02-03 10:00,공주,0.244
467,4,02-03 11:00,공주,0.152
468,4,02-03 12:00,공주,0.23600000000000002
469,4,02-03 13:00,공주,0.18
470,4,02-03 14:00,공주,0.16
471,4,02-03 15:00,공주,0.08
472,4,02-03 16:00,공주,0.14
473,4,02-03 17:00,공주,0.188
474,4,02-03 18:00,공주,0.16
475,4,02-03 19:00,공주,0.128
476,4,02-03 20:00,공주,0.14400000000000002
477,4,02-03 21:00,공주,0.14
478,4,02-03 22:00,공주,0.152
479,4,02-03 23:00,공주,0.132
480,4,02-04 00:00,공주,0.148
481,4,02-04 01:00,공주,0.136
482,4,02-04 02:00,공주,0.164
483,4,02-04 03:00,공주,0.124
484,4,02-04 04:00,공주,0.136
485,4,02-04 05:00,공주,0.116
486,4,02-04 06:00,공주,0.14400000000000002
487,4,02-04 07:00,공주,0.14400000000000002
488,4,02-04 08:00,공주,0.16
489,4,02-04 09:00,공주,0.124
490,4,02-04 10:00,공주,0.112
491,4,02-04 11:00,공주,0.10400000000000001
492,4,02-04 12:00,공주,0.1
493,4,02-04 13:00,공주,0.096
494,4,02-04 14:00,공주,0.108
495,4,02-04 15:00,공주,0.108
496,4,02-04 16:00,공주,0.112
497,4,02-04 17:00,공주,0.124
498,4,02-04 18:00,공주,0.10400000000000001
499,4,02-04 19:00,공주,0.112
500,4,02-04 20:00,공주,0.124
501,4,02-04 21:00,공주,0.14400000000000002
502,4,02-04 22:00,공주,0.10400000000000001
503,4,02-04 23:00,공주,0.12
504,4,02-07 00:00,공주,0.14
505,4,02-07 01:00,공주,0.14400000000000002
506,4,02-07 02:00,공주,0.148
507,4,02-07 03:00,공주,0.136
508,4,02-07 04:00,공주,0.136
509,4,02-07 05:00,공주,0.132
510,4,02-07 06:00,공주,0.136
511,4,02-07 07:00,공주,0.164
512,4,02-07 08:00,공주,0.164
513,4,02-07 09:00,공주,0.184
514,4,02-07 10:00,공주,0.176
515,4,02-07 11:00,공주,0.14
516,4,02-07 12:00,공주,0.152
517,4,02-07 13:00,공주,0.12
518,4,02-07 14:00,공주,0.116
519,4,02-07 15:00,공주,0.116
520,4,02-07 16:00,공주,0.124
521,4,02-07 17:00,공주,0.12
522,4,02-07 18:00,공주,0.14
523,4,02-07 19:00,공주,0.128
524,4,02-07 20:00,공주,0.132
525,4,02-07 21:00,공주,0.152
526,4,02-07 22:00,공주,0.14
527,4,02-07 23:00,공주,0.156
528,4,02-08 00:00,공주,0.156
529,4,02-08 01:00,공주,0.136
530,4,02-08 02:00,공주,0.156
531,4,02-08 03:00,공주,0.16
532,4,02-08 04:00,공주,0.132
533,4,02-08 05:00,공주,0.152
534,4,02-08 06:00,공주,0.164
535,4,02-08 07:00,공주,0.18
536,4,02-08 08:00,공주,0.16
537,4,02-08 09:00,공주,0.176
538,4,02-08 10:00,공주,0.164
539,4,02-08 11:00,공주,0.128
540,4,02-08 12:00,공주,0.14
541,4,02-08 13:00,공주,0.12
542,4,02-08 14:00,공주,0.12
543,4,02-08 15:00,공주,0.1
544,4,02-08 16:00,공주,0.10400000000000001
545,4,02-08 17:00,공주,0.10400000000000001
546,4,02-08 18:00,공주,0.116
547,4,02-08 19:00,공주,0.116
548,4,02-08 20:00,공주,0.12
549,4,02-08 21:00,공주,0.112
550,4,02-08 22:00,공주,0.148
551,4,02-08 23:00,공주,0.124
552,4,02-09 00:00,공주,0.112
553,4,02-09 01:00,공주,0.132
554,4,02-09 02:00,공주,0.128
555,4,02-09 03:00,공주,0.124
556,4,02-09 04:00,공주,0.12
557,4,02-09 05:00,공주,0.136
558,4,02-09 06:00,공주,0.132
559,4,02-09 07:00,공주,0.14
560,4,02-09 08:00,공주,0.156
561,4,02-09 09:00,공주,0.152
562,4,02-09 10:00,공주,0.108
563,4,02-09 11:00,공주,0.116
564,4,02-09 12:00,공주,0.092
565,4,02-09 13:00,공주,0.1
566,4,02-09 14:00,공주,0.10400000000000001
567,4,02-09 15:00,공주,0.1
568,4,02-09 16:00,공주,0.10400000000000001
569,4,02-09 17:00,공주,0.10400000000000001
570,4,02-09 18:00,공주,0.10400000000000001
571,4,02-09 19:00,공주,0.10400000000000001
572,4,02-09 20:00,공주,0.108
573,4,02-09 21:00,공주,0.12
574,4,02-09 22:00,공주,0.108
575,4,02-09 23:00,공주,0.108
576,4,02-12 00:00,공주,0.044
577,4,02-12 01:00,공주,0.044
578,4,02-12 02:00,공주,0.048
579,4,02-12 03:00,공주,0.044
580,4,02-12 04:00,공주,0.044
581,4,02-12 05:00,공주,0.048
582,4,02-12 06:00,공주,0.052000000000000005
583,4,02-12 07:00,공주,0.056
584,4,02-12 08:00,공주,0.056
585,4,02-12 09:00,공주,0.064
586,4,02-12 10:00,공주,0.048
587,4,02-12 11:00,공주,0.048
588,4,02-12 12:00,공주,0.048
589,4,02-12 13:00,공주,0.044
590,4,02-12 14:00,공주,0.04
591,4,02-12 15:00,공주,0.048
592,4,02-12 16:00,공주,0.048
593,4,02-12 17:00,공주,0.06
594,4,02-12 18:00,공주,0.064
595,4,02-12 19:00,공주,0.064
596,4,02-12 20:00,공주,0.06
597,4,02-12 21:00,공주,0.068
598,4,02-12 22:00,공주,0.064
599,4,02-12 23:00,공주,0.06
600,4,02-13 00:00,공주,0.06
601,4,02-13 01:00,공주,0.064
602,4,02-13 02:00,공주,0.07200000000000001
603,4,02-13 03:00,공주,0.068
604,4,02-13 04:00,공주,0.07200000000000001
605,4,02-13 05:00,공주,0.068
606,4,02-13 06:00,공주,0.076
607,4,02-13 07:00,공주,0.076
608,4,02-13 08:00,공주,0.084
609,4,02-13 09:00,공주,0.084
610,4,02-13 10:00,공주,0.1
611,4,02-13 11:00,공주,0.07200000000000001
612,4,02-13 12:00,공주,0.076
613,4,02-13 13:00,공주,0.068
614,4,02-13 14:00,공주,0.07200000000000001
615,4,02-13 15:00,공주,0.056
616,4,02-13 16:00,공주,0.052000000000000005
617,4,02-13 17:00,공주,0.068
618,4,02-13 18:00,공주,0.07200000000000001
619,4,02-13 19:00,공주,0.068
620,4,02-13 20:00,공주,0.08
621,4,02-13 21:00,공주,0.088
622,4,02-13 22:00,공주,0.128
623,4,02-13 23:00,공주,0.088
624,4,02-14 00:00,공주,0.092
625,4,02-14 01:00,공주,0.096
626,4,02-14 02:00,공주,0.092
627,4,02-14 03:00,공주,0.084
628,4,02-14 04:00,공주,0.092
629,4,02-14 05:00,공주,0.116
630,4,02-14 06:00,공주,0.084
631,4,02-14 07:00,공주,0.092
632,4,02-14 08:00,공주,0.112
633,4,02-14 09:00,공주,0.116
634,4,02-14 10:00,공주,0.1
635,4,02-14 11:00,공주,0.092
636,4,02-14 12:00,공주,0.084
637,4,02-14 13:00,공주,0.08
638,4,02-14 14:00,공주,0.084
639,4,02-14 15:00,공주,0.084
640,4,02-14 16:00,공주,0.084
641,4,02-14 17:00,공주,0.088
642,4,02-14 18:00,공주,0.084
643,4,02-14 19:00,공주,0.096
644,4,02-14 20:00,공주,0.092
645,4,02-14 21:00,공주,0.10400000000000001
646,4,02-14 22:00,공주,0.092
647,4,02-14 23:00,공주,0.088
648,4,02-17 00:00,공주,0.07200000000000001
649,4,02-17 01:00,공주,0.076
650,4,02-17 02:00,공주,0.08
651,4,02-17 03:00,공주,0.07200000000000001
652,4,02-17 04:00,공주,0.076
653,4,02-17 05:00,공주,0.076
654,4,02-17 06:00,공주,0.076
655,4,02-17 07:00,공주,0.088
656,4,02-17 08:00,공주,0.08
657,4,02-17 09:00,공주,0.088
658,4,02-17 10:00,공주,0.08
659,4,02-17 11:00,공주,0.076
660,4,02-17 12:00,공주,0.076
661,4,02-17 13:00,공주,0.07200000000000001
662,4,02-17 14:00,공주,0.064
663,4,02-17 15:00,공주,0.064
664,4,02-17 16:00,공주,0.064
665,4,02-17 17:00,공주,0.07200000000000001
666,4,02-17 18:00,공주,0.084
667,4,02-17 19:00,공주,0.084
668,4,02-17 20:00,공주,0.08
669,4,02-17 21:00,공주,0.088
670,4,02-17 22:00,공주,0.088
671,4,02-17 23:00,공주,0.088
672,4,02-18 00:00,공주,0.092
673,4,02-18 01:00,공주,0.092
674,4,02-18 02:00,공주,0.088
675,4,02-18 03:00,공주,0.092
676,4,02-18 04:00,공주,0.092
677,4,02-18 05:00,공주,0.084
678,4,02-18 06:00,공주,0.096
679,4,02-18 07:00,공주,0.1
680,4,02-18 08:00,공주,0.096
681,4,02-18 09:00,공주,0.096
682,4,02-18 10:00,공주,0.108
683,4,02-18 11:00,공주,0.076
684,4,02-18 12:00,공주,0.088
685,4,02-18 13:00,공주,0.07200000000000001
686,4,02-18 14:00,공주,0.076
687,4,02-18 15:00,공주,0.064
688,4,02-18 16:00,공주,0.064
689,4,02-18 17:00,공주,0.076
690,4,02-18 18:00,공주,0.08
691,4,02-18 19:00,공주,0.08
692,4,02-18 20:00,공주,0.084
693,4,02-18 21:00,공주,0.1
694,4,02-18 22:00,공주,0.128
695,4,02-18 23:00,공주,0.096
696,4,02-19 00:00,공주,0.1
697,4,02-19 01:00,공주,0.10400000000000001
698,4,02-19 02:00,공주,0.096
699,4,02-19 03:00,공주,0.092
700,4,02-19 04:00,공주,0.096
701,4,02-19 05:00,공주,0.112
702,4,02-19 06:00,공주,0.092
703,4,02-19 07:00,공주,0.092
704,4,02-19 08:00,공주,0.112
705,4,02-19 09:00,공주,0.112
706,4,02-19 10:00,공주,0.092
707,4,02-19 11:00,공주,0.084
708,4,02-19 12:00,공주,0.08
709,4,02-19 13:00,공주,0.076
710,4,02-19 14:00,공주,0.08
711,4,02-19 15:00,공주,0.076
712,4,02-19 16:00,공주,0.076
